date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:15:20	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202024%2019:15:13%20GMT	http://globalvoicesmun.my.canva.site/images/b9d3bc70f84570cd456a8382c391faf6.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/b9d3bc70f84570cd456a8382c391faf6.png	(from https://globalvoicesmun.my.canva.site/)
22:15:20	230043/230043	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Aug%202024%2019:15:13%20GMT	https://globalvoicesmun.my.canva.site/images/83a4a330c87bc675bcdb57df26441987.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/83a4a330c87bc675bcdb57df26441987.png	(from https://globalvoicesmun.my.canva.site/)
22:15:22	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202024%2019:15:15%20GMT	http://globalvoicesmun.my.canva.site/images/71a60225b51552994a1586c3a9f6536d.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/71a60225b51552994a1586c3a9f6536d.png	(from https://globalvoicesmun.my.canva.site/)
22:15:22	350027/350027	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Aug%202024%2019:15:15%20GMT	https://globalvoicesmun.my.canva.site/images/b9d3bc70f84570cd456a8382c391faf6.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/b9d3bc70f84570cd456a8382c391faf6.png	(from https://globalvoicesmun.my.canva.site/)
22:15:24	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202024%2019:15:17%20GMT	http://globalvoicesmun.my.canva.site/images/d6459cf0a70f0ed6040954dcda1e8634.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/d6459cf0a70f0ed6040954dcda1e8634.png	(from https://globalvoicesmun.my.canva.site/)
22:15:24	57293/57293	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Aug%202024%2019:15:17%20GMT	https://globalvoicesmun.my.canva.site/images/71a60225b51552994a1586c3a9f6536d.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/71a60225b51552994a1586c3a9f6536d.png	(from https://globalvoicesmun.my.canva.site/)
22:15:26	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202024%2019:15:18%20GMT	http://globalvoicesmun.my.canva.site/images/1f3f484d0cfb2523e0dee5cd68616b10.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/1f3f484d0cfb2523e0dee5cd68616b10.png	(from https://globalvoicesmun.my.canva.site/)
22:15:26	73144/73144	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Aug%202024%2019:15:18%20GMT	https://globalvoicesmun.my.canva.site/images/d6459cf0a70f0ed6040954dcda1e8634.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/d6459cf0a70f0ed6040954dcda1e8634.png	(from https://globalvoicesmun.my.canva.site/)
22:15:28	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202024%2019:15:20%20GMT	http://globalvoicesmun.my.canva.site/images/db3979e8d2c9eb8f1c59920ae4b1f420.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/db3979e8d2c9eb8f1c59920ae4b1f420.png	(from https://globalvoicesmun.my.canva.site/)
22:15:28	91949/91949	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Aug%202024%2019:15:20%20GMT	https://globalvoicesmun.my.canva.site/images/1f3f484d0cfb2523e0dee5cd68616b10.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/1f3f484d0cfb2523e0dee5cd68616b10.png	(from https://globalvoicesmun.my.canva.site/)
22:15:30	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202024%2019:15:22%20GMT	http://globalvoicesmun.my.canva.site/images/43d5fd12bb2ac7f661c880c8378be206.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/43d5fd12bb2ac7f661c880c8378be206.png	(from https://globalvoicesmun.my.canva.site/)
22:15:30	557363/557363	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Aug%202024%2019:15:22%20GMT	https://globalvoicesmun.my.canva.site/images/db3979e8d2c9eb8f1c59920ae4b1f420.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/db3979e8d2c9eb8f1c59920ae4b1f420.png	(from https://globalvoicesmun.my.canva.site/)
22:15:32	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202024%2019:15:25%20GMT	http://globalvoicesmun.my.canva.site/images/0a554dc098d4f36df32e774b9a9e516a.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/0a554dc098d4f36df32e774b9a9e516a.png	(from https://globalvoicesmun.my.canva.site/)
22:15:32	280906/280906	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Aug%202024%2019:15:25%20GMT	https://globalvoicesmun.my.canva.site/images/43d5fd12bb2ac7f661c880c8378be206.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/43d5fd12bb2ac7f661c880c8378be206.png	(from https://globalvoicesmun.my.canva.site/)
22:15:34	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202024%2019:15:26%20GMT	http://globalvoicesmun.my.canva.site/images/143ed3b8f64c7298c2670efe4d3a6325.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/143ed3b8f64c7298c2670efe4d3a6325.png	(from https://globalvoicesmun.my.canva.site/)
22:15:34	259542/259542	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Aug%202024%2019:15:26%20GMT	https://globalvoicesmun.my.canva.site/images/0a554dc098d4f36df32e774b9a9e516a.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/0a554dc098d4f36df32e774b9a9e516a.png	(from https://globalvoicesmun.my.canva.site/)
22:15:36	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202024%2019:15:28%20GMT	http://globalvoicesmun.my.canva.site/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	(from https://globalvoicesmun.my.canva.site/)
22:15:36	310951/310951	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Aug%202024%2019:15:28%20GMT	https://globalvoicesmun.my.canva.site/images/143ed3b8f64c7298c2670efe4d3a6325.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/143ed3b8f64c7298c2670efe4d3a6325.png	(from https://globalvoicesmun.my.canva.site/)
22:15:36	221/221	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2024%20Aug%202024%2019:15:30%20GMT	https://globalvoicesmun.my.canva.site/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	(from https://globalvoicesmun.my.canva.site/)
